time,outdoor_PM2.5_conc_(µg/m3),outdoor_US_AQI,outdoor_category,outdoor_category_index,,c2_PM2.5_conc_(µg/m3),c2_US_AQI,c2_category,c2_category_index,,d2_PM2.5_conc_(µg/m3),d2_US_AQI,d2_category,d2_category_index
2021-04-01 0:00,17,61,Moderate,1,,4.6,19,Good,0,,5.4,22,Good,0
2021-04-01 1:00,16.9,61,Moderate,1,,4.2,17,Good,0,,4.7,19,Good,0
2021-04-01 2:00,17.1,61,Moderate,1,,4.3,17,Good,0,,4.9,20,Good,0
2021-04-01 3:00,18.6,64,Moderate,1,,4.6,19,Good,0,,5.2,21,Good,0
2021-04-01 4:00,20.1,67,Moderate,1,,4.8,20,Good,0,,5.5,22,Good,0
2021-04-01 5:00,,,No Data,-1,,5,20,Good,0,,6,25,Good,0
2021-04-01 6:00,,,No Data,-1,,6.2,25,Good,0,,8.6,35,Good,0
2021-04-01 7:00,,,No Data,-1,,9.6,40,Good,0,,16.5,60,Moderate,1
2021-04-01 8:00,,,No Data,-1,,11.1,46,Good,0,,16.9,61,Moderate,1
2021-04-01 9:00,,,No Data,-1,,14,54,Moderate,1,,18.2,63,Moderate,1
2021-04-01 10:00,14.2,55,Moderate,1,,12.2,51,Moderate,1,,12.8,52,Moderate,1
2021-04-01 11:00,13.3,53,Moderate,1,,9.2,38,Good,0,,9.6,40,Good,0
2021-04-01 12:00,10.4,43,Good,0,,7.9,32,Good,0,,11.5,47,Good,0
2021-04-01 13:00,14.5,56,Moderate,1,,7.5,31,Good,0,,9,37,Good,0
2021-04-01 14:00,15.6,58,Moderate,1,,8.6,35,Good,0,,11.3,47,Good,0
2021-04-01 15:00,12.5,51,Moderate,1,,5,20,Good,0,,5.4,22,Good,0
2021-04-01 16:00,13.6,54,Moderate,1,,4.4,18,Good,0,,6.2,25,Good,0
2021-04-01 17:00,15.1,57,Moderate,1,,4.9,20,Good,0,,7.6,31,Good,0
2021-04-01 18:00,19.8,67,Moderate,1,,7.9,32,Good,0,,14.8,56,Moderate,1
2021-04-01 19:00,26.1,80,Moderate,1,,10.5,43,Good,0,,18.6,64,Moderate,1
2021-04-01 20:00,28.1,84,Moderate,1,,12.8,52,Moderate,1,,21.2,70,Moderate,1
2021-04-01 21:00,26.7,81,Moderate,1,,10.6,44,Good,0,,19.5,66,Moderate,1
2021-04-01 22:00,30.4,89,Moderate,1,,10.3,42,Good,0,,13.2,53,Moderate,1
2021-04-01 23:00,34.2,97,Moderate,1,,9.6,40,Good,0,,11.7,48,Good,0
2021-04-02 0:00,39.5,110,Unhealthy for Sensitive Groups,2,,9.4,39,Good,0,,10.5,43,Good,0
2021-04-02 1:00,41.2,115,Unhealthy for Sensitive Groups,2,,11.1,46,Good,0,,11.9,49,Good,0
2021-04-02 2:00,42.4,117,Unhealthy for Sensitive Groups,2,,11.6,48,Good,0,,12.3,51,Moderate,1
2021-04-02 3:00,42.6,118,Unhealthy for Sensitive Groups,2,,11.3,47,Good,0,,11.9,49,Good,0
2021-04-02 4:00,47.7,131,Unhealthy for Sensitive Groups,2,,11.8,49,Good,0,,12.8,52,Moderate,1
2021-04-02 5:00,50.3,137,Unhealthy for Sensitive Groups,2,,12.1,51,Moderate,1,,12.9,52,Moderate,1
2021-04-02 6:00,53.8,146,Unhealthy for Sensitive Groups,2,,12.2,51,Moderate,1,,12.7,52,Moderate,1
2021-04-02 7:00,52.3,142,Unhealthy for Sensitive Groups,2,,18.2,63,Moderate,1,,19.1,65,Moderate,1
