Date,Day,Breakfast (kg),Lunch (kg),Dinner (kg),Total Wastage (kg),Week Number (ISO),Year,Tooltip - Breakfast,Tooltip - Lunch,Tooltip - Dinner,Tooltip - Total
Monday, January 4, 2021,Monday,3.43,8.41,11.16,23,1,2021,<b>Jan 04 2021</b><br>3kg (~6 full plates),<b>Jan 04 2021</b><br>8kg (~16 full plates),<b>Jan 04 2021</b><br>11kg (~22 full plates),<b>Jan 04 2021</b><br>23kg (~46 full plates)
Tuesday, January 5, 2021,Tuesday,3.79,7.23,6.76,17.78,1,2021,<b>Jan 05 2021</b><br>4kg (~8 full plates),<b>Jan 05 2021</b><br>7kg (~14 full plates),<b>Jan 05 2021</b><br>7kg (~14 full plates),<b>Jan 05 2021</b><br>18kg (~36 full plates)
Wednesday, January 6, 2021,Wednesday,2.78,10.96,8.42,22.16,1,2021,<b>Jan 06 2021</b><br>3kg (~6 full plates),<b>Jan 06 2021</b><br>11kg (~22 full plates),<b>Jan 06 2021</b><br>8kg (~16 full plates),<b>Jan 06 2021</b><br>22kg (~44 full plates)
Thursday, January 7, 2021,Thursday,2.56,10.3,9.63,22.49,1,2021,<b>Jan 07 2021</b><br>3kg (~6 full plates),<b>Jan 07 2021</b><br>10kg (~20 full plates),<b>Jan 07 2021</b><br>10kg (~20 full plates),<b>Jan 07 2021</b><br>22kg (~44 full plates)
Friday, January 8, 2021,Friday,4.24,7.5,5.81,17.55,1,2021,<b>Jan 08 2021</b><br>4kg (~8 full plates),<b>Jan 08 2021</b><br>8kg (~16 full plates),<b>Jan 08 2021</b><br>6kg (~12 full plates),<b>Jan 08 2021</b><br>18kg (~36 full plates)
Saturday, January 9, 2021,Saturday,10.95,9.42,6.04,26.41,1,2021,<b>Jan 09 2021</b><br>11kg (~22 full plates),<b>Jan 09 2021</b><br>9kg (~18 full plates),<b>Jan 09 2021</b><br>6kg (~12 full plates),<b>Jan 09 2021</b><br>26kg (~52 full plates)
Sunday, January 10, 2021,Sunday,4.79,8.49,9.32,22.6,1,2021,<b>Jan 10 2021</b><br>5kg (~10 full plates),<b>Jan 10 2021</b><br>8kg (~16 full plates),<b>Jan 10 2021</b><br>9kg (~18 full plates),<b>Jan 10 2021</b><br>23kg (~46 full plates)
Monday, January 11, 2021,Monday,4.27,12.9,9.5,26.67,2,2021,<b>Jan 11 2021</b><br>4kg (~8 full plates),<b>Jan 11 2021</b><br>13kg (~26 full plates),<b>Jan 11 2021</b><br>10kg (~20 full plates),<b>Jan 11 2021</b><br>27kg (~54 full plates)
Tuesday, January 12, 2021,Tuesday,5.19,9.04,6.91,21.14,2,2021,<b>Jan 12 2021</b><br>5kg (~10 full plates),<b>Jan 12 2021</b><br>9kg (~18 full plates),<b>Jan 12 2021</b><br>7kg (~14 full plates),<b>Jan 12 2021</b><br>21kg (~42 full plates)
Wednesday, January 13, 2021,Wednesday,3.84,11.31,10.76,25.91,2,2021,<b>Jan 13 2021</b><br>4kg (~8 full plates),<b>Jan 13 2021</b><br>11kg (~22 full plates),<b>Jan 13 2021</b><br>11kg (~22 full plates),<b>Jan 13 2021</b><br>26kg (~52 full plates)
Thursday, January 14, 2021,Thursday,4.93,16.44,14.12,35.49,2,2021,<b>Jan 14 2021</b><br>5kg (~10 full plates),<b>Jan 14 2021</b><br>16kg (~32 full plates),<b>Jan 14 2021</b><br>14kg (~28 full plates),<b>Jan 14 2021</b><br>35kg (~70 full plates)
Friday, January 15, 2021,Friday,4.65,8.69,8.36,21.7,2,2021,<b>Jan 15 2021</b><br>5kg (~10 full plates),<b>Jan 15 2021</b><br>9kg (~18 full plates),<b>Jan 15 2021</b><br>8kg (~16 full plates),<b>Jan 15 2021</b><br>22kg (~44 full plates)
Saturday, January 16, 2021,Saturday,5.44,7.34,8.97,21.75,2,2021,<b>Jan 16 2021</b><br>5kg (~10 full plates),<b>Jan 16 2021</b><br>7kg (~14 full plates),<b>Jan 16 2021</b><br>9kg (~18 full plates),<b>Jan 16 2021</b><br>22kg (~44 full plates)
Sunday, January 17, 2021,Sunday,8.16,11.92,11.72,31.8,2,2021,<b>Jan 17 2021</b><br>8kg (~16 full plates),<b>Jan 17 2021</b><br>12kg (~24 full plates),<b>Jan 17 2021</b><br>12kg (~24 full plates),<b>Jan 17 2021</b><br>32kg (~64 full plates)
Monday, January 18, 2021,Monday,7.46,12.68,17.96,38.1,3,2021,<b>Jan 18 2021</b><br>7kg (~14 full plates),<b>Jan 18 2021</b><br>13kg (~26 full plates),<b>Jan 18 2021</b><br>18kg (~36 full plates),<b>Jan 18 2021</b><br>38kg (~76 full plates)
Tuesday, January 19, 2021,Tuesday,11.39,13.46,9.98,34.83,3,2021,<b>Jan 19 2021</b><br>11kg (~22 full plates),<b>Jan 19 2021</b><br>13kg (~26 full plates),<b>Jan 19 2021</b><br>10kg (~20 full plates),<b>Jan 19 2021</b><br>35kg (~70 full plates)
Wednesday, January 20, 2021,Wednesday,9.01,9.25,16.34,34.6,3,2021,<b>Jan 20 2021</b><br>9kg (~18 full plates),<b>Jan 20 2021</b><br>9kg (~18 full plates),<b>Jan 20 2021</b><br>16kg (~32 full plates),<b>Jan 20 2021</b><br>35kg (~70 full plates)
Thursday, January 21, 2021,Thursday,9.42,12.95,12.92,35.29,3,2021,<b>Jan 21 2021</b><br>9kg (~18 full plates),<b>Jan 21 2021</b><br>13kg (~26 full plates),<b>Jan 21 2021</b><br>13kg (~26 full plates),<b>Jan 21 2021</b><br>35kg (~70 full plates)
Friday, January 22, 2021,Friday,6.39,13.11,11.21,30.71,3,2021,<b>Jan 22 2021</b><br>6kg (~12 full plates),<b>Jan 22 2021</b><br>13kg (~26 full plates),<b>Jan 22 2021</b><br>11kg (~22 full plates),<b>Jan 22 2021</b><br>31kg (~62 full plates)
Saturday, January 23, 2021,Saturday,6.77,14.08,10.85,31.7,3,2021,<b>Jan 23 2021</b><br>7kg (~14 full plates),<b>Jan 23 2021</b><br>14kg (~28 full plates),<b>Jan 23 2021</b><br>11kg (~22 full plates),<b>Jan 23 2021</b><br>32kg (~64 full plates)
Sunday, January 24, 2021,Sunday,11.24,13.71,11.96,36.91,3,2021,<b>Jan 24 2021</b><br>11kg (~22 full plates),<b>Jan 24 2021</b><br>14kg (~28 full plates),<b>Jan 24 2021</b><br>12kg (~24 full plates),<b>Jan 24 2021</b><br>37kg (~74 full plates)
Monday, January 25, 2021,Monday,7.88,21,13.33,42.21,4,2021,<b>Jan 25 2021</b><br>8kg (~16 full plates),<b>Jan 25 2021</b><br>21kg (~42 full plates),<b>Jan 25 2021</b><br>13kg (~26 full plates),<b>Jan 25 2021</b><br>42kg (~84 full plates)
Tuesday, January 26, 2021,Tuesday,8.03,15.97,19.25,43.25,4,2021,<b>Jan 26 2021</b><br>8kg (~16 full plates),<b>Jan 26 2021</b><br>16kg (~32 full plates),<b>Jan 26 2021</b><br>19kg (~38 full plates),<b>Jan 26 2021</b><br>43kg (~86 full plates)
Wednesday, January 27, 2021,Wednesday,11.61,15.16,16.01,42.78,4,2021,<b>Jan 27 2021</b><br>12kg (~24 full plates),<b>Jan 27 2021</b><br>15kg (~30 full plates),<b>Jan 27 2021</b><br>16kg (~32 full plates),<b>Jan 27 2021</b><br>43kg (~86 full plates)
Thursday, January 28, 2021,Thursday,6.88,9.29,12.47,28.64,4,2021,<b>Jan 28 2021</b><br>7kg (~14 full plates),<b>Jan 28 2021</b><br>9kg (~18 full plates),<b>Jan 28 2021</b><br>12kg (~24 full plates),<b>Jan 28 2021</b><br>29kg (~58 full plates)
Friday, January 29, 2021,Friday,9.19,11.56,13.49,34.24,4,2021,<b>Jan 29 2021</b><br>9kg (~18 full plates),<b>Jan 29 2021</b><br>12kg (~24 full plates),<b>Jan 29 2021</b><br>13kg (~26 full plates),<b>Jan 29 2021</b><br>34kg (~68 full plates)
Saturday, January 30, 2021,Saturday,4.77,17.24,16.14,38.15,4,2021,<b>Jan 30 2021</b><br>5kg (~10 full plates),<b>Jan 30 2021</b><br>17kg (~34 full plates),<b>Jan 30 2021</b><br>16kg (~32 full plates),<b>Jan 30 2021</b><br>38kg (~76 full plates)
Sunday, January 31, 2021,Sunday,10.48,14.98,19.23,44.69,4,2021,<b>Jan 31 2021</b><br>10kg (~20 full plates),<b>Jan 31 2021</b><br>15kg (~30 full plates),<b>Jan 31 2021</b><br>19kg (~38 full plates),<b>Jan 31 2021</b><br>45kg (~90 full plates)
Monday, February 1, 2021,Monday,8.86,12.25,21.42,42.53,5,2021,<b>Feb 01 2021</b><br>9kg (~18 full plates),<b>Feb 01 2021</b><br>12kg (~24 full plates),<b>Feb 01 2021</b><br>21kg (~42 full plates),<b>Feb 01 2021</b><br>43kg (~86 full plates)
Tuesday, February 2, 2021,Tuesday,5.4,10.18,19.78,35.36,5,2021,<b>Feb 02 2021</b><br>5kg (~10 full plates),<b>Feb 02 2021</b><br>10kg (~20 full plates),<b>Feb 02 2021</b><br>20kg (~40 full plates),<b>Feb 02 2021</b><br>35kg (~70 full plates)
Wednesday, February 3, 2021,Wednesday,8.4,7.06,19.22,34.68,5,2021,<b>Feb 03 2021</b><br>8kg (~16 full plates),<b>Feb 03 2021</b><br>7kg (~14 full plates),<b>Feb 03 2021</b><br>19kg (~38 full plates),<b>Feb 03 2021</b><br>35kg (~70 full plates)
Thursday, February 4, 2021,Thursday,11.38,10.33,12.72,34.43,5,2021,<b>Feb 04 2021</b><br>11kg (~22 full plates),<b>Feb 04 2021</b><br>10kg (~20 full plates),<b>Feb 04 2021</b><br>13kg (~26 full plates),<b>Feb 04 2021</b><br>34kg (~68 full plates)
Friday, February 5, 2021,Friday,6.7,16.55,10.1,33.35,5,2021,<b>Feb 05 2021</b><br>7kg (~14 full plates),<b>Feb 05 2021</b><br>17kg (~34 full plates),<b>Feb 05 2021</b><br>10kg (~20 full plates),<b>Feb 05 2021</b><br>33kg (~66 full plates)
Saturday, February 6, 2021,Saturday,8.6,17.15,16.8,42.55,5,2021,<b>Feb 06 2021</b><br>9kg (~18 full plates),<b>Feb 06 2021</b><br>17kg (~34 full plates),<b>Feb 06 2021</b><br>17kg (~34 full plates),<b>Feb 06 2021</b><br>43kg (~86 full plates)
Sunday, February 7, 2021,Sunday,9.17,9.39,11.62,30.18,5,2021,<b>Feb 07 2021</b><br>9kg (~18 full plates),<b>Feb 07 2021</b><br>9kg (~18 full plates),<b>Feb 07 2021</b><br>12kg (~24 full plates),<b>Feb 07 2021</b><br>30kg (~60 full plates)
Monday, February 8, 2021,Monday,10.91,7.96,8.13,27,6,2021,<b>Feb 08 2021</b><br>11kg (~22 full plates),<b>Feb 08 2021</b><br>8kg (~16 full plates),<b>Feb 08 2021</b><br>8kg (~16 full plates),<b>Feb 08 2021</b><br>27kg (~54 full plates)
Tuesday, February 9, 2021,Tuesday,10.3,6.99,16.71,34,6,2021,<b>Feb 09 2021</b><br>10kg (~20 full plates),<b>Feb 09 2021</b><br>7kg (~14 full plates),<b>Feb 09 2021</b><br>17kg (~34 full plates),<b>Feb 09 2021</b><br>34kg (~68 full plates)
Wednesday, February 10, 2021,Wednesday,8.25,10.88,16.38,35.51,6,2021,<b>Feb 10 2021</b><br>8kg (~16 full plates),<b>Feb 10 2021</b><br>11kg (~22 full plates),<b>Feb 10 2021</b><br>16kg (~32 full plates),<b>Feb 10 2021</b><br>36kg (~72 full plates)
Thursday, February 11, 2021,Thursday,5.99,9.46,21.14,36.59,6,2021,<b>Feb 11 2021</b><br>6kg (~12 full plates),<b>Feb 11 2021</b><br>9kg (~18 full plates),<b>Feb 11 2021</b><br>21kg (~42 full plates),<b>Feb 11 2021</b><br>37kg (~74 full plates)
Friday, February 12, 2021,Friday,7.09,18.82,11.16,37.07,6,2021,<b>Feb 12 2021</b><br>7kg (~14 full plates),<b>Feb 12 2021</b><br>19kg (~38 full plates),<b>Feb 12 2021</b><br>11kg (~22 full plates),<b>Feb 12 2021</b><br>37kg (~74 full plates)
Saturday, February 13, 2021,Saturday,4.78,14.57,12.22,31.57,6,2021,<b>Feb 13 2021</b><br>5kg (~10 full plates),<b>Feb 13 2021</b><br>15kg (~30 full plates),<b>Feb 13 2021</b><br>12kg (~24 full plates),<b>Feb 13 2021</b><br>32kg (~64 full plates)
Sunday, February 14, 2021,Sunday,9.95,8.55,10.56,29.06,6,2021,<b>Feb 14 2021</b><br>10kg (~20 full plates),<b>Feb 14 2021</b><br>9kg (~18 full plates),<b>Feb 14 2021</b><br>11kg (~22 full plates),<b>Feb 14 2021</b><br>29kg (~58 full plates)
Monday, February 15, 2021,Monday,7.5,15.05,7.57,30.12,7,2021,<b>Feb 15 2021</b><br>8kg (~16 full plates),<b>Feb 15 2021</b><br>15kg (~30 full plates),<b>Feb 15 2021</b><br>8kg (~16 full plates),<b>Feb 15 2021</b><br>30kg (~60 full plates)
Tuesday, February 16, 2021,Tuesday,7.87,8.8,11.74,28.41,7,2021,<b>Feb 16 2021</b><br>8kg (~16 full plates),<b>Feb 16 2021</b><br>9kg (~18 full plates),<b>Feb 16 2021</b><br>12kg (~24 full plates),<b>Feb 16 2021</b><br>28kg (~56 full plates)
Wednesday, February 17, 2021,Wednesday,8.23,18.1,16.43,42.76,7,2021,<b>Feb 17 2021</b><br>8kg (~16 full plates),<b>Feb 17 2021</b><br>18kg (~36 full plates),<b>Feb 17 2021</b><br>16kg (~32 full plates),<b>Feb 17 2021</b><br>43kg (~86 full plates)
Thursday, February 18, 2021,Thursday,10.42,8.39,14.62,33.43,7,2021,<b>Feb 18 2021</b><br>10kg (~20 full plates),<b>Feb 18 2021</b><br>8kg (~16 full plates),<b>Feb 18 2021</b><br>15kg (~30 full plates),<b>Feb 18 2021</b><br>33kg (~66 full plates)
Friday, February 19, 2021,Friday,8.63,23.84,10.14,42.61,7,2021,<b>Feb 19 2021</b><br>9kg (~18 full plates),<b>Feb 19 2021</b><br>24kg (~48 full plates),<b>Feb 19 2021</b><br>10kg (~20 full plates),<b>Feb 19 2021</b><br>43kg (~86 full plates)
Saturday, February 20, 2021,Saturday,8.23,13.1,7.43,28.76,7,2021,<b>Feb 20 2021</b><br>8kg (~16 full plates),<b>Feb 20 2021</b><br>13kg (~26 full plates),<b>Feb 20 2021</b><br>7kg (~14 full plates),<b>Feb 20 2021</b><br>29kg (~58 full plates)
Sunday, February 21, 2021,Sunday,11.59,8.83,6.86,27.28,7,2021,<b>Feb 21 2021</b><br>12kg (~24 full plates),<b>Feb 21 2021</b><br>9kg (~18 full plates),<b>Feb 21 2021</b><br>7kg (~14 full plates),<b>Feb 21 2021</b><br>27kg (~54 full plates)
Monday, February 22, 2021,Monday,2.27,7.41,7.88,17.56,8,2021,<b>Feb 22 2021</b><br>2kg (~4 full plates),<b>Feb 22 2021</b><br>7kg (~14 full plates),<b>Feb 22 2021</b><br>8kg (~16 full plates),<b>Feb 22 2021</b><br>18kg (~36 full plates)
Tuesday, February 23, 2021,Tuesday,9.83,6.82,9.7,26.35,8,2021,<b>Feb 23 2021</b><br>10kg (~20 full plates),<b>Feb 23 2021</b><br>7kg (~14 full plates),<b>Feb 23 2021</b><br>10kg (~20 full plates),<b>Feb 23 2021</b><br>26kg (~52 full plates)
Wednesday, February 24, 2021,Wednesday,7.35,7.8,6.73,21.88,8,2021,<b>Feb 24 2021</b><br>7kg (~14 full plates),<b>Feb 24 2021</b><br>8kg (~16 full plates),<b>Feb 24 2021</b><br>7kg (~14 full plates),<b>Feb 24 2021</b><br>22kg (~44 full plates)
Thursday, February 25, 2021,Thursday,7.56,16.56,9.87,33.99,8,2021,<b>Feb 25 2021</b><br>8kg (~16 full plates),<b>Feb 25 2021</b><br>17kg (~34 full plates),<b>Feb 25 2021</b><br>10kg (~20 full plates),<b>Feb 25 2021</b><br>34kg (~68 full plates)
Friday, February 26, 2021,Friday,7.16,8.14,9.77,25.07,8,2021,<b>Feb 26 2021</b><br>7kg (~14 full plates),<b>Feb 26 2021</b><br>8kg (~16 full plates),<b>Feb 26 2021</b><br>10kg (~20 full plates),<b>Feb 26 2021</b><br>25kg (~50 full plates)
Saturday, February 27, 2021,Saturday,6.45,11.34,10.08,27.87,8,2021,<b>Feb 27 2021</b><br>6kg (~12 full plates),<b>Feb 27 2021</b><br>11kg (~22 full plates),<b>Feb 27 2021</b><br>10kg (~20 full plates),<b>Feb 27 2021</b><br>28kg (~56 full plates)
Sunday, February 28, 2021,Sunday,8.6,8.84,7.36,24.8,8,2021,<b>Feb 28 2021</b><br>9kg (~18 full plates),<b>Feb 28 2021</b><br>9kg (~18 full plates),<b>Feb 28 2021</b><br>7kg (~14 full plates),<b>Feb 28 2021</b><br>25kg (~50 full plates)
Monday, March 1, 2021,Monday,7.19,10.31,8.63,26.13,9,2021,<b>Mar 01 2021</b><br>7kg (~14 full plates),<b>Mar 01 2021</b><br>10kg (~20 full plates),<b>Mar 01 2021</b><br>9kg (~18 full plates),<b>Mar 01 2021</b><br>26kg (~52 full plates)
Tuesday, March 2, 2021,Tuesday,11.61,13.81,12.11,37.53,9,2021,<b>Mar 02 2021</b><br>12kg (~24 full plates),<b>Mar 02 2021</b><br>14kg (~28 full plates),<b>Mar 02 2021</b><br>12kg (~24 full plates),<b>Mar 02 2021</b><br>38kg (~76 full plates)
Wednesday, March 3, 2021,Wednesday,7.75,14.78,7.54,30.07,9,2021,<b>Mar 03 2021</b><br>8kg (~16 full plates),<b>Mar 03 2021</b><br>15kg (~30 full plates),<b>Mar 03 2021</b><br>8kg (~16 full plates),<b>Mar 03 2021</b><br>30kg (~60 full plates)
Thursday, March 4, 2021,Thursday,7.01,11.19,5.02,23.22,9,2021,<b>Mar 04 2021</b><br>7kg (~14 full plates),<b>Mar 04 2021</b><br>11kg (~22 full plates),<b>Mar 04 2021</b><br>5kg (~10 full plates),<b>Mar 04 2021</b><br>23kg (~46 full plates)
Friday, March 5, 2021,Friday,5.6,5.16,4.03,14.79,9,2021,<b>Mar 05 2021</b><br>6kg (~12 full plates),<b>Mar 05 2021</b><br>5kg (~10 full plates),<b>Mar 05 2021</b><br>4kg (~8 full plates),<b>Mar 05 2021</b><br>15kg (~30 full plates)
Saturday, March 6, 2021,Saturday,7.28,7.96,8.59,23.83,9,2021,<b>Mar 06 2021</b><br>7kg (~14 full plates),<b>Mar 06 2021</b><br>8kg (~16 full plates),<b>Mar 06 2021</b><br>9kg (~18 full plates),<b>Mar 06 2021</b><br>24kg (~48 full plates)
Sunday, March 7, 2021,Sunday,8.53,16.2,15.71,40.44,9,2021,<b>Mar 07 2021</b><br>9kg (~18 full plates),<b>Mar 07 2021</b><br>16kg (~32 full plates),<b>Mar 07 2021</b><br>16kg (~32 full plates),<b>Mar 07 2021</b><br>40kg (~80 full plates)
Monday, March 8, 2021,Monday,8.93,6.48,8.38,23.79,10,2021,<b>Mar 08 2021</b><br>9kg (~18 full plates),<b>Mar 08 2021</b><br>6kg (~12 full plates),<b>Mar 08 2021</b><br>8kg (~16 full plates),<b>Mar 08 2021</b><br>24kg (~48 full plates)
Tuesday, March 9, 2021,Tuesday,10.15,5.93,9.37,25.45,10,2021,<b>Mar 09 2021</b><br>10kg (~20 full plates),<b>Mar 09 2021</b><br>6kg (~12 full plates),<b>Mar 09 2021</b><br>9kg (~18 full plates),<b>Mar 09 2021</b><br>25kg (~50 full plates)
Wednesday, March 10, 2021,Wednesday,9.03,7.46,10.43,26.92,10,2021,<b>Mar 10 2021</b><br>9kg (~18 full plates),<b>Mar 10 2021</b><br>7kg (~14 full plates),<b>Mar 10 2021</b><br>10kg (~20 full plates),<b>Mar 10 2021</b><br>27kg (~54 full plates)
Thursday, March 11, 2021,Thursday,7.7,11.01,7.69,26.4,10,2021,<b>Mar 11 2021</b><br>8kg (~16 full plates),<b>Mar 11 2021</b><br>11kg (~22 full plates),<b>Mar 11 2021</b><br>8kg (~16 full plates),<b>Mar 11 2021</b><br>26kg (~52 full plates)
Friday, March 12, 2021,Friday,5.42,9.18,8.52,23.12,10,2021,<b>Mar 12 2021</b><br>5kg (~10 full plates),<b>Mar 12 2021</b><br>9kg (~18 full plates),<b>Mar 12 2021</b><br>9kg (~18 full plates),<b>Mar 12 2021</b><br>23kg (~46 full plates)
Saturday, March 13, 2021,Saturday,7.36,9.18,14.52,31.06,10,2021,<b>Mar 13 2021</b><br>7kg (~14 full plates),<b>Mar 13 2021</b><br>9kg (~18 full plates),<b>Mar 13 2021</b><br>15kg (~30 full plates),<b>Mar 13 2021</b><br>31kg (~62 full plates)
Sunday, March 14, 2021,Sunday,8.86,13.41,11.02,33.29,10,2021,<b>Mar 14 2021</b><br>9kg (~18 full plates),<b>Mar 14 2021</b><br>13kg (~26 full plates),<b>Mar 14 2021</b><br>11kg (~22 full plates),<b>Mar 14 2021</b><br>33kg (~66 full plates)
Monday, March 15, 2021,Monday,9.31,8.78,14.5,32.59,11,2021,<b>Mar 15 2021</b><br>9kg (~18 full plates),<b>Mar 15 2021</b><br>9kg (~18 full plates),<b>Mar 15 2021</b><br>15kg (~30 full plates),<b>Mar 15 2021</b><br>33kg (~66 full plates)
Tuesday, March 16, 2021,Tuesday,6.99,13.61,10.66,31.26,11,2021,<b>Mar 16 2021</b><br>7kg (~14 full plates),<b>Mar 16 2021</b><br>14kg (~28 full plates),<b>Mar 16 2021</b><br>11kg (~22 full plates),<b>Mar 16 2021</b><br>31kg (~62 full plates)
Wednesday, March 17, 2021,Wednesday,7.19,16.36,11.26,34.81,11,2021,<b>Mar 17 2021</b><br>7kg (~14 full plates),<b>Mar 17 2021</b><br>16kg (~32 full plates),<b>Mar 17 2021</b><br>11kg (~22 full plates),<b>Mar 17 2021</b><br>35kg (~70 full plates)
Thursday, March 18, 2021,Thursday,6.63,23.18,12.77,42.58,11,2021,<b>Mar 18 2021</b><br>7kg (~14 full plates),<b>Mar 18 2021</b><br>23kg (~46 full plates),<b>Mar 18 2021</b><br>13kg (~26 full plates),<b>Mar 18 2021</b><br>43kg (~86 full plates)
Friday, March 19, 2021,Friday,5.24,9.55,9.54,24.33,11,2021,<b>Mar 19 2021</b><br>5kg (~10 full plates),<b>Mar 19 2021</b><br>10kg (~20 full plates),<b>Mar 19 2021</b><br>10kg (~20 full plates),<b>Mar 19 2021</b><br>24kg (~48 full plates)
Saturday, March 20, 2021,Saturday,6.17,15.9,8.7,30.77,11,2021,<b>Mar 20 2021</b><br>6kg (~12 full plates),<b>Mar 20 2021</b><br>16kg (~32 full plates),<b>Mar 20 2021</b><br>9kg (~18 full plates),<b>Mar 20 2021</b><br>31kg (~62 full plates)
