User Category,Month,User cost center name,Billing code - description,B/W print (A4),B/W copy (A4),Color print (A4),Color copy (A4),One Color print (A4),One Color copy (A4),One Color print (A3),One Color copy (A3),Local B/W print (A4),Local color print (A4),B/W print (A3),B/W copy (A3),Color print (A3),Color copy (A3),Local copy (A4),B/W A3,Color A3,B/W A4,Color A/4,B/W pages,Color pages,Total
Staff,September 2022,affiliate,administrator,3176,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3181,24,3181,24,3205
Faculty & Researcher,September 2022,affiliate,faculty,274,0,2275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,2275,274,2275,2549
Faculty & Researcher,September 2022,affiliate,faculty,1255,100,361,0,0,0,0,0,0,0,0,0,45,0,0,0,45,1355,361,1355,406,1761
Faculty & Researcher,September 2022,affiliate,faculty,355,1068,10,318,0,0,0,0,0,0,0,0,0,0,0,0,0,1423,328,1423,328,1751
Faculty & Researcher,September 2022,affiliate,faculty,1509,0,210,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1509,210,1510,210,1720
Staff,September 2022,affiliate,administrator,248,46,1236,8,0,0,0,0,0,0,0,0,0,0,0,0,0,294,1244,294,1244,1538
Staff,September 2022,affiliate,administrator,124,0,1396,0,0,0,0,0,0,0,5,0,5,0,0,5,5,124,1396,129,1401,1530
Others,September 2022,affiliate,--Unknown billing code--,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375,0,1375,0,1375
Faculty & Researcher,September 2022,affiliate,faculty,678,0,597,0,0,0,0,0,0,0,6,0,2,0,0,6,2,678,597,684,599,1283
Staff,September 2022,affiliate,administrator,1014,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,228,1014,228,1242
Faculty & Researcher,September 2022,affiliate,adjunct faculty,539,469,203,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,232,1008,232,1240
Student,September 2022,student,degree,595,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,556,595,556,1151
Staff,September 2022,affiliate,ad_contingent,7,405,4,711,0,0,0,0,0,0,0,0,0,0,0,0,0,412,715,412,715,1127
