,New First-Year Undergrad Cohort Size,Undergrads,NYUAD Undergrads Abroad,Visiting Students from Other Campuses,,Global PhD Students,Master's Students,,Total Enrolled NYUAD Students,Theoretical Maximum Students on NYUAD Campus,Approx. Students on Campus,Students Registered for NYUAD Housing (ResEd),,Percentage of Citizenship (Undergrads):,Emirati (Undergrads),US (Undergrads),Rest of the world (Undergrads),Approx. Number of Citizens (Undergrads):,Emirati (Undergrads),US (Undergrads),Rest of the world (Undergrads)
Fall 2010,148,148,0,8,,0,0,,148,156,156,,,,4%,39%,57%,,6,58,84
Spring 2011,0,147,0,7,,0,0,,147,154,154,,,,4%,38%,58%,,6,56,85
Fall 2011,161,303,2,5,,0,0,,303,306,306,,,,5%,28%,67%,,15,85,203
Spring 2012,0,301,29,12,,0,0,,301,284,284,,,,5%,28%,67%,,15,84,202
Fall 2012,150,448,106,10,,0,0,,448,352,352,145,,,7%,23%,70%,,31,103,314
Spring 2013,1,447,157,20,,0,0,,447,310,310,159,,,7%,24%,69%,,31,107,308
Fall 2013,174,616,132,12,,8,0,,624,504,502,461,,,9%,20%,71%,,55,123,437
Spring 2014,1,611,155,14,,8,0,,619,478,476,512,,,9%,21%,70%,,55,128,428
Fall 2014,259,726,90,17,,14,0,,740,667,664,628,,,10%,15%,75%,,73,109,545
Spring 2015,1,717,152,12,,14,0,,731,591,588,578,,,10%,15%,75%,,72,108,538
Fall 2015,299,874,74,27,,26,0,,900,853,848,825,,,12%,13%,75%,,105,114,656
Spring 2016,0,861,234,22,,26,0,,887,675,670,672,,,12%,13%,75%,,103,112,646
Fall 2016,322,1050,107,33,,34,0,,1084,1010,1003,932,,,13%,13%,74%,,137,137,777
Spring 2017,0,1028,351,20,,34,0,,1062,731,724,654,,,13%,13%,74%,,134,134,761
Fall 2017,361,1230,98,37,,47,0,,1277,1216,1207,1142,,,13%,13%,74%,,160,160,910
Spring 2018,0,1220,303,18,,47,0,,1267,982,973,887,,,13%,13%,74%,,159,159,903
Fall 2018,389,1355,112,39,,58,0,,1413,1340,1328,1275,,,15%,12%,73%,,203,163,989
Spring 2019,0,1330,317,24,,57,0,,1387,1094,1083,1011,,,15%,12%,73%,,200,160,971
Fall 2019,429,1479,182,41,,81,0,,1560,1419,1403,1334,,,16%,12%,72%,,237,177,1065
Spring 2020,0,1449,262,39,,76,0,,1525,1302,1287,1212,,,15%,12%,73%,,217,174,1058
Fall 2020,490,1625,10,6,,94,7,,1726,1722,1703,1406,,,18%,11%,71%,,293,179,1154
Spring 2021,0,1607,43,5,,94,7,,1708,1670,1651,1196,,,18%,11%,71%,,289,177,1141
Fall 2021,530,1833,337,123,,99,15,,1947,1733,1713,1544,,,18%,9%,73%,,330,165,1338
Spring 2022,14,1789,238,88,,94,15,,1898,1748,1729,1565,,,19%,9%,72%,,340,161,1288
Fall 2022,624,2103,253,129,,99,19,,2221,2097,2077,1899,,,20%,8%,72%,,421,168,1514
Spring 2023,0,2029,261,127,,95,19,,2143,2009,1990,1830,,,20%,8%,72%,,406,162,1461
